,export,share,cum_share
CAF,35672.71,3.126461e-10,0.9994248151779175
URY,33530.617,2.9387218e-10,0.9994567632675171
MOZ,30049.81,2.6336536e-10,0.9994853734970093
ISL,28840.664,2.5276803e-10,0.9995128512382507
ANT,27208.3,2.3846153e-10,0.999538779258728
BHS,25212.453,2.2096933e-10,0.9995627999305725
HND,21754.521,1.90663e-10,0.9995835423469543
SSD,19580.125,1.7160597e-10,0.999602198600769
BLR,19426.193,1.7025685e-10,0.9996207356452942
CUB,18730.064,1.6415577e-10,0.999638557434082
LAO,17492.766,1.5331172e-10,0.9996552467346191
MNE,15847.147,1.3888904e-10,0.9996703863143921
KGZ,15078.889,1.321558e-10,0.999684751033783
BTN,14167.823,1.2417097e-10,0.9996982216835022
TCD,13552.016,1.1877384e-10,0.9997111558914185
CRI,12178.703,1.0673772e-10,0.9997227191925049
NIC,11618.397,1.0182704e-10,0.9997338056564331
MCO,11596.604,1.0163603e-10,0.9997448325157166
SLV,11582.543,1.01512805e-10,0.9997559189796448
LSO,11473.807,1.0055981e-10,0.9997668266296387
NER,11395.947,9.987742e-11,0.9997776746749878
BRB,11213.0625,9.827457e-11,0.9997883439064026
DOM,10457.482,9.165244e-11,0.9997983574867249
LIE,10437.428,9.147667e-11,0.9998082518577576
SLE,10246.95,8.980727e-11,0.9998180270195007
PAN,9828.267,8.6137805e-11,0.9998273849487305
LBR,9640.521,8.449236e-11,0.9998366236686707
PRY,9367.923,8.210322e-11,0.9998455047607422
MUS,9342.473,8.188017e-11,0.9998544454574585
MLT,8853.787,7.7597186e-11,0.9998628497123718
PSE,8741.4795,7.661288e-11,0.9998711943626404
TJK,7775.7295,6.814877e-11,0.9998785853385925
NPL,7756.0986,6.797672e-11,0.9998859763145447
UGA,6978.829,6.1164504e-11,0.9998926520347595
SRB,6407.8086,5.615991e-11,0.9998987317085266
AFG,6249.2627,5.4770372e-11,0.9999046921730042
MWI,5443.618,4.770947e-11,0.9999098777770996
DJI,5245.6895,4.5974762e-11,0.9999148845672607
SDN,4913.236,4.306104e-11,0.9999195337295532
BGD,4844.406,4.245779e-11,0.9999241828918457
GRL,4608.341,4.038885e-11,0.9999285936355591
BLZ,4230.3193,3.707576e-11,0.999932587146759
ABW,4211.5312,3.6911092e-11,0.9999366402626038
BDI,3890.5188,3.409765e-11,0.9999403357505798
SWZ,3852.646,3.376572e-11,0.9999439716339111
ZWE,3664.5596,3.2117274e-11,0.9999474883079529
CYM,3627.2375,3.1790175e-11,0.9999509453773499
VGB,3615.2217,3.1684863e-11,0.9999544024467468
MDA,3307.6443,2.8989164e-11,0.9999575614929199
ERI,3108.995,2.7248143e-11,0.9999604821205139
BMU,2892.9666,2.5354807e-11,0.9999632835388184
SUR,2884.5322,2.5280887e-11,0.999966025352478
MLI,2856.0312,2.5031095e-11,0.9999687075614929
FJI,2765.189,2.4234927e-11,0.9999713897705078
