temperature_increase [degC],radius_extension [km],USA,EXPORT:50,EXPORT:75,EXPORT:95,WORLD
0,0.0,56.06137181079943,20.79946716745188,11.658350817074734,9.223885883939971,2.2569243207339866
1,10.0,55.45722951855144,21.03205764599373,11.909538251080306,9.306535714830488,2.2946388695440305
2,20.0,55.269785840033876,20.433259717206738,12.51903962873726,9.552228644000962,2.225686170021163
3,30.0,54.96960304748367,20.707547944409015,12.354230879893393,9.668835924016392,2.299782204197527
4,40.0,54.80695038236684,21.38216898980044,12.082510199373914,9.44246714319047,2.2859032852683328
5,50.0,53.617657212904746,21.08881607154568,13.167304372773899,9.86717137568408,2.2590509670915964
