scenario,delta_t,region_group,min,mean,max
A,0,MQ:50,0.3948237549999673,0.42094368711109426,0.4403376079999898
A,1,MQ:50,0.43064950499998966,0.4564260634444325,0.4825344479999822
A,2,MQ:50,0.48311214599997365,0.4975457613333176,0.5219728669999931
A,3,MQ:50,0.5282107049999889,0.5510162882222139,0.5804277239999864
A,4,MQ:50,0.5628325329999811,0.5972609931110952,0.628624496999966
A,0,MQ:50+USA,0.5181917099999666,0.5493333831110948,0.5723853790000027
A,1,MQ:50+USA,0.5601708149999888,0.591886161111099,0.6197866479999689
A,2,MQ:50+USA,0.6223944079999748,0.6436093601110955,0.6606404689999953
A,3,MQ:50+USA,0.6798713710000268,0.6975642627777691,0.721278407999971
A,4,MQ:50+USA,0.7103526249999814,0.7558895945555395,0.7926237079999675
A,0,MQ:75,0.7720191039999563,0.8014282191110854,0.8398293919999745
A,1,MQ:75,0.8577375100000053,0.8739623058888706,0.9071144319999459
A,2,MQ:75,0.9590619149999388,0.9737259582221967,0.9971100649999932
A,3,MQ:75,1.0523794419999961,1.0725092072222104,1.1044817559999636
A,4,MQ:75,1.1443180559999708,1.1907365384444144,1.24669612799996
A,0,MQ:95,0.9676939539999694,0.9998676459999847,1.036722870999987
A,1,MQ:95,1.079489006999983,1.0951891029999878,1.126014032999993
A,2,MQ:95,1.1867688869999973,1.208386735222201,1.238367417999998
A,3,MQ:95,1.321358109000008,1.336452665444443,1.3522036429999635
A,4,MQ:95,1.418620140999974,1.4662416733333106,1.5029838419999662
B,0,MQ:50,0.3948237549999673,0.42094368711109426,0.4403376079999898
B,1,MQ:50,0.4336271129999701,0.4552229601110908,0.4783942849999592
B,2,MQ:50,0.48841869199995885,0.5091278868888777,0.5429955349999945
B,3,MQ:50,0.5411685429999958,0.5640682586666567,0.5991437139999848
B,4,MQ:50,0.6050018379999715,0.6207809752222024,0.6551572729999646
B,0,MQ:50+USA,0.5181917099999666,0.5493333831110948,0.5723853790000027
B,1,MQ:50+USA,0.5671073019999846,0.5967142763333126,0.6254135999999578
B,2,MQ:50+USA,0.6277396059999601,0.6556317174444334,0.6731155109999981
B,3,MQ:50+USA,0.6862647739999984,0.7084712688888798,0.7303301609999808
B,4,MQ:50+USA,0.7540316199999951,0.7817668081110902,0.8144674199999632
B,0,MQ:75,0.7720191039999563,0.8014282191110854,0.8398293919999745
B,1,MQ:75,0.870310027999974,0.8924660887777461,0.9151847469999608
B,2,MQ:75,0.9741612679999396,1.0105342096666456,1.029603185
B,3,MQ:75,1.1066417919999727,1.1306857046666456,1.1598066809999867
B,4,MQ:75,1.2821814589999672,1.2918979126666341,1.3071646379999375
B,0,MQ:95,0.9676939539999694,0.9998676459999847,1.036722870999987
B,1,MQ:95,1.0866901789999706,1.1170371671110821,1.1410294659999638
B,2,MQ:95,1.2139423549999429,1.2535963261110976,1.276757507000009
B,3,MQ:95,1.3684814389999786,1.392690363444432,1.425407913999993
B,4,MQ:95,1.5761047089999891,1.5886709899999714,1.6031061169999556
C,0,MQ:50,0.3948237549999673,0.42094368711109426,0.4403376079999898
C,1,MQ:50,0.4547238249999974,0.47241563133332964,0.48921299000000024
C,2,MQ:50,0.4684033939999919,0.49793500266665824,0.5091142529999894
C,3,MQ:50,0.5553909009999726,0.5769732638888716,0.6035148209999539
C,4,MQ:50,0.6150797090000156,0.6324184531111032,0.6558200599999875
C,0,MQ:50+USA,0.5181917099999666,0.5493333831110948,0.5723853790000027
C,1,MQ:50+USA,0.5829120329999862,0.6084365144444406,0.6283487759999928
C,2,MQ:50+USA,0.6117179759999919,0.6450356246666589,0.670149220999986
C,3,MQ:50+USA,0.7106262479999826,0.7356606472222049,0.7832527250000068
C,4,MQ:50+USA,0.7821988160000131,0.8078913155555478,0.8348696599999701
C,0,MQ:75,0.7720191039999563,0.8014282191110854,0.8398293919999745
C,1,MQ:75,0.902089122000012,0.9124699212222074,0.9436446219999722
C,2,MQ:75,1.0002639119999774,1.0306243435555418,1.0806470239999895
C,3,MQ:75,1.1536532560000055,1.1863098327777513,1.2632239769999898
C,4,MQ:75,1.331700735999985,1.3640042026666561,1.392820235999965
C,0,MQ:95,0.9676939539999694,0.9998676459999847,1.036722870999987
C,1,MQ:95,1.1355001399999793,1.1491399989999909,1.1851030099999775
C,2,MQ:95,1.2565390980000108,1.2768130392222146,1.326733131000001
C,3,MQ:95,1.4341689700000135,1.467275048333311,1.5488043169999999
C,4,MQ:95,1.646192901999987,1.6711022009999952,1.6909253689999706
