parameter,param_value,region_group,value
initial_storage_fill_factor,2.0,USA,51.72051412172728
initial_storage_fill_factor,2.0,AI:50,19.57724190050304
initial_storage_fill_factor,2.0,AI:75,15.520821071834831
initial_storage_fill_factor,2.0,AI:95,10.915488252562
initial_storage_fill_factor,3.0,USA,52.660258731428854
initial_storage_fill_factor,3.0,AI:50,19.515981901357023
initial_storage_fill_factor,3.0,AI:75,14.791008915663625
initial_storage_fill_factor,3.0,AI:95,10.784201008885262
initial_storage_fill_factor,4.0,USA,51.83027238430091
initial_storage_fill_factor,4.0,AI:50,18.84570060056666
initial_storage_fill_factor,4.0,AI:75,17.025014184825224
initial_storage_fill_factor,4.0,AI:95,10.068665694933003
initial_storage_fill_factor,5.0,USA,52.23112759871034
initial_storage_fill_factor,5.0,AI:50,19.431970572311222
initial_storage_fill_factor,5.0,AI:75,15.634888972218803
initial_storage_fill_factor,5.0,AI:95,10.467066951949505
initial_storage_fill_factor,6.0,USA,53.51514621416326
initial_storage_fill_factor,6.0,AI:50,18.87172915570452
initial_storage_fill_factor,6.0,AI:75,13.943384018891038
initial_storage_fill_factor,6.0,AI:95,10.95523258985122
initial_storage_fill_factor,7.0,USA,51.160684626177854
initial_storage_fill_factor,7.0,AI:50,18.888427660098486
initial_storage_fill_factor,7.0,AI:75,18.06289827678323
initial_storage_fill_factor,7.0,AI:95,9.779721143740005
initial_storage_fill_factor,8.0,USA,52.95866537347763
initial_storage_fill_factor,8.0,AI:50,17.022651378844472
initial_storage_fill_factor,8.0,AI:75,17.573015592401845
initial_storage_fill_factor,8.0,AI:95,10.122022569691723
initial_storage_fill_factor,9.0,USA,51.85088315100826
initial_storage_fill_factor,9.0,AI:50,17.727919830925472
initial_storage_fill_factor,9.0,AI:75,18.60227203405347
initial_storage_fill_factor,9.0,AI:95,9.623640621166302
initial_storage_fill_factor,10.0,USA,53.7053872628277
initial_storage_fill_factor,10.0,AI:50,19.492726646180074
initial_storage_fill_factor,10.0,AI:75,13.85608231791494
initial_storage_fill_factor,10.0,AI:95,10.249204876188742
initial_storage_fill_factor,11.0,USA,53.13177765866814
initial_storage_fill_factor,11.0,AI:50,17.857664906878867
initial_storage_fill_factor,11.0,AI:75,17.330117420995037
initial_storage_fill_factor,11.0,AI:95,9.039061468716454
initial_storage_fill_factor,12.0,USA,54.058124277734166
initial_storage_fill_factor,12.0,AI:50,18.067174252560022
initial_storage_fill_factor,12.0,AI:75,15.861224879978664
initial_storage_fill_factor,12.0,AI:95,9.941193967987218
initial_storage_fill_factor,13.0,USA,53.988391884137734
initial_storage_fill_factor,13.0,AI:50,18.33221817173068
initial_storage_fill_factor,13.0,AI:75,15.213169975392802
initial_storage_fill_factor,13.0,AI:95,9.96585893642309
initial_storage_fill_factor,14.0,USA,54.13598024745425
initial_storage_fill_factor,14.0,AI:50,17.431182208848774
initial_storage_fill_factor,14.0,AI:75,16.972263506367852
initial_storage_fill_factor,14.0,AI:95,9.283047982635551
initial_storage_fill_factor,15.0,USA,54.12056291712938
initial_storage_fill_factor,15.0,AI:50,16.805122273330497
