scenario,delta_t,region_group,min,mean,max
A,0,USA,11.786421075999536,12.367588388000177,12.88941618200009
A,1,USA,12.973696337000128,13.226976766333495,13.505266654999907
A,2,USA,13.788883507000108,14.109495168777803,14.21946113399965
A,3,USA,14.750663851000082,15.251960915000135,15.864773850000502
A,4,USA,15.454442229999419,15.967390191333314,17.026028203999612
A,0,AI-MQ:50,15.09939364100095,15.62013753200178,16.20336044400223
A,1,AI-MQ:50,16.443294378001198,16.758101559334992,17.17427610300087
A,2,AI-MQ:50,17.523088799002952,17.841316217224307,18.06739892200114
A,3,AI-MQ:50,18.634625426000067,19.232033569223724,19.897973814001574
A,4,AI-MQ:50,19.837410132002546,20.414207772002083,21.375913323001686
A,0,AI-MQ:75,17.10656560200014,17.743443219334576,18.38034937800189
A,1,AI-MQ:75,18.951658745001062,19.29092380033435,19.638137586000614
A,2,AI-MQ:75,20.11905461800254,20.459269720557156,20.884404440002204
A,3,AI-MQ:75,21.455657807001252,22.38519589122324,23.776866391000212
A,4,AI-MQ:75,22.827871963002043,23.982579607334845,24.814254179001157
A,0,AI-MQ:95,18.693164538001366,19.38292649511303,20.023366225002828
A,1,AI-MQ:95,20.6891056520015,21.080246747557183,21.449670109001204
A,2,AI-MQ:95,21.967262985003078,22.37798676377997,22.7162715850029
A,3,AI-MQ:95,23.59565156400198,24.560819648223784,25.94873038900082
A,4,AI-MQ:95,25.10004190300259,26.302039452113178,27.13904821300172
B,0,USA,11.786421075999536,12.367588388000177,12.88941618200009
B,1,USA,13.103197250000283,13.47909676166672,14.348225359000143
B,2,USA,13.95218524900017,14.352200454555575,14.719885549000141
B,3,USA,14.806957317000665,15.247887173555727,15.932075011000059
B,4,USA,16.046987352000386,16.530318691222444,17.680226742000045
B,0,AI-MQ:50,15.09939364100095,15.62013753200178,16.20336044400223
B,1,AI-MQ:50,16.6799556610014,17.07644113144627,17.882964639001635
B,2,AI-MQ:50,17.865004538001266,18.272540871890477,18.773104690002334
B,3,AI-MQ:50,19.01428903500195,19.5967380874468,20.451830229001395
B,4,AI-MQ:50,20.895737889002135,21.49174277933563,22.785897265002667
B,0,AI-MQ:75,17.10656560200014,17.743443219334576,18.38034937800189
B,1,AI-MQ:75,19.063289009000613,19.627860238001233,20.972591120001162
B,2,AI-MQ:75,20.671800093000797,21.061360395890105,21.814111434000232
B,3,AI-MQ:75,22.071399680001992,23.02644131044649,24.67861346900081
B,4,AI-MQ:75,24.264077926002074,25.458452985001973,28.039254300002693
B,0,AI-MQ:95,18.693164538001366,19.38292649511303,20.023366225002828
B,1,AI-MQ:95,20.78143483600077,21.44143725411286,22.763299488001984
B,2,AI-MQ:95,22.70045447700141,23.120354930335083,24.00927401600062
B,3,AI-MQ:95,24.39012451000272,25.30427289955819,27.04898394700142
B,4,AI-MQ:95,26.66167656700224,27.96464143978022,30.55325719900288
C,0,USA,11.786421075999536,12.367588388000177,12.88941618200009
C,1,USA,13.123592667999919,13.526670307111338,14.095925181000498
C,2,USA,14.100552952999529,14.576313407111131,15.417965506000233
C,3,USA,15.320811861000392,16.042062529888856,17.675999632999662
C,4,USA,16.270635217000294,16.978204286333483,18.362696566000277
C,0,AI-MQ:50,15.09939364100095,15.62013753200178,16.20336044400223
C,1,AI-MQ:50,16.767404277002562,17.173357496224355,17.681176454001825
C,2,AI-MQ:50,18.08222188200062,18.692574910335185,19.431875856003412
C,3,AI-MQ:50,19.945627820003168,20.76076137589034,22.446768484000714
C,4,AI-MQ:50,21.600967224002293,22.358670399113162,23.68128407700136
C,0,AI-MQ:75,17.10656560200014,17.743443219334576,18.38034937800189
C,1,AI-MQ:75,19.260175607001468,19.776930297001545,20.614841401002003
C,2,AI-MQ:75,21.050573145000275,21.614480921667994,22.452949716002593
C,3,AI-MQ:75,23.182205524002686,24.780681179334177,28.84133743699895
C,4,AI-MQ:75,25.778025895002,27.299860061112778,29.74317183100118
C,0,AI-MQ:95,18.693164538001366,19.38292649511303,20.023366225002828
C,1,AI-MQ:95,21.13857229600194,21.67065960744651,22.53192199700287
C,2,AI-MQ:95,23.080667179001313,23.728255938557382,24.50263545600309
C,3,AI-MQ:95,25.57023613400328,27.261758473445788,31.352851966999115
C,4,AI-MQ:95,28.43643278100262,30.023778768780048,32.40248609800148
