scenario,delta_t,gains_min,gains_mean,gains_max,losses_min,losses_mean,losses_max,sum_min,sum_mean,sum_max
A,0.0,0.11741501500000241,0.1279528099999998,0.14565008300000082,-0.7486632509999952,-0.7374184149999953,-0.717684101999997,-0.6238384299999925,-0.6094656049999956,-0.5873944309999967
A,1.0,0.11835253299999879,0.13878839500000123,0.16262571099999895,-0.8565518889999857,-0.832598242999994,-0.8096436699999917,-0.7251609050000031,-0.6938098479999926,-0.6816958979999831
A,2.0,0.1337245889999996,0.14174337700000353,0.17876590599999895,-0.9777143789999898,-0.9509230279999956,-0.9334833249999908,-0.8380720569999875,-0.8091796509999926,-0.7599587749999993
A,3.0,0.11530051700000078,0.15383864299999947,0.18003777299999993,-1.1174252459999947,-1.0964121189999987,-1.0768236509999942,-1.0021247289999937,-0.9425734759999986,-0.9088137979999967
A,4.0,0.13615633200000068,0.1644470509999996,0.173098211000002,-1.284446814999989,-1.254932882999999,-1.241641655000002,-1.1195195169999876,-1.0904858319999997,-1.0685434440000001
A,0.25,,0.1374954890000021,,,-0.7623164019999946,,,-0.6248209129999925,
A,0.5,,0.14874019999999913,,,-0.7702216969999847,,,-0.6214814969999853,
A,0.75,,0.1352834410000019,,,-0.8102103269999881,,,-0.6749268859999866,
A,1.25,,0.11413961899999937,,,-0.8536629219999837,,,-0.7395233029999841,
A,1.5,,0.1305985949999997,,,-0.8963505509999993,,,-0.7657519559999996,
A,1.75,,0.14324968699999818,,,-0.92069670099999,,,-0.7774470139999922,
A,2.25,,0.12641320300000036,,,-0.9750234709999961,,,-0.8486102679999962,
A,2.5,,0.15185536600000088,,,-1.019486009999993,,,-0.8676306439999919,
A,2.75,,0.15985731500000042,,,-1.0658686319999897,,,-0.9060113169999897,
A,3.25,,0.15544105100000236,,,-1.1434948629999961,,,-0.9880538119999935,
A,3.5,,0.14741946400000097,,,-1.1690624569999886,,,-1.0216429929999875,
A,3.75,,0.17970788000000334,,,-1.2163576650000003,,,-1.0366497849999972,
B,0.0,0.11741501500000241,0.1279528099999998,0.14565008300000082,-0.7486632509999952,-0.7374184149999953,-0.717684101999997,-0.6238384299999925,-0.6094656049999956,-0.5873944309999967
B,1.0,0.12955401699999816,0.1575138360000002,0.16174779000000045,-0.8659099909999834,-0.8578978029999884,-0.8379475269999944,-0.7201398880000016,-0.7003839669999885,-0.6895414550000044
B,2.0,0.12035947700000178,0.14001519100000143,0.18325726799999845,-1.0192853599999945,-1.0087772970000022,-0.9824924049999846,-0.8859053560000022,-0.8687621060000008,-0.8246011840000003
B,3.0,0.1256963710000019,0.1554798450000008,0.16504643699999988,-1.197501697999995,-1.1757036399999925,-1.1513413369999976,-1.0702896839999985,-1.020223794999992,-1.0046921799999953
B,4.0,0.14316416799999881,0.15636157900000058,0.17923846000000118,-1.3912060770000099,-1.369499557000003,-1.3519490949999846,-1.2296272520000118,-1.2131379780000022,-1.1846084029999882
